"","NC.1","NC.2","NC.3","NC.4","HFD.1","HFD.2","HFD.3","HFD.4","HFD.5","CPT.1","CPT.2","CPT.3","CPT.4","CPT.5"
"17336071",1.42907139711461,1.35270413575665,1.54495893349408,1.37387809127524,2.09867316533352,1.76561741627143,1.47373576123136,1.40459930390139,1.79037652955676,1.66840008585369,1.45021295596697,1.80932937145495,1.91517644543697,1.65377700140003
"17336073",1.55095517922865,1.88789991613161,1.80575470768655,1.82054866041794,1.61641806533802,1.66329461186739,1.51018196285772,1.57724302084441,1.52900858601974,1.57538334026891,1.65449109245919,2.05020699111614,1.6573075048509,1.62265494521606
"17434023",1.74229740438104,2.37175924514261,2.92904678345253,2.87870276153252,2.57831461802678,2.22582322559796,2.5951327932673,2.3685187766777,2.39051567862547,2.76531075855132,2.38873336261442,2.2300328765259,2.29054773329196,2.83350018650626
"17544324",1.34026719676957,1.20182784850183,1.337798623134,1.26703291045052,1.25114978511662,1.38365242742753,1.1709237848546,1.42798436469839,1.14883678939053,1.11100571013853,1.57249173851666,1.30155083770481,1.41101209608307,1.48025545250195
"17425926",6.49897805695728,6.88849320771303,6.31217884104902,6.2683144255652,6.84167196897642,6.52169235386915,6.82085366583932,6.66310554487025,6.7942179295158,6.69892774947507,6.47970643663889,6.45555500315934,7.03542951151847,6.50772421618587
"17277666",1.95413396112908,2.35163678597047,2.29199525829687,2.37879531468456,2.27312316545338,2.20965727738944,2.19460421882726,2.226042871748,1.82549164984533,2.52071479063978,2.68672363803495,2.25917504275066,1.82211286620765,2.45978133472594
"17414512",1.5057580222716,1.93277849342636,1.28802046686589,1.39451671447753,2.19077400403791,1.39769296986664,1.77817086444993,1.80986157085482,1.67265611524969,1.46546274110271,1.81630310966757,1.56940781098579,1.60785564403674,1.25838533274938
"17404993",1.85451889332068,1.84160454991775,1.81776359937473,2.07023469453024,1.98089651922228,2.06857610933938,2.29749636787794,2.38526613093897,1.71790808605731,1.50795862049025,1.82309393442653,1.5183652095576,1.50278742424533,1.6931135738932
"17446490",1.41992263897406,1.20478451479466,1.71628353648167,1.44471306607091,1.63497909381936,1.60898713941241,1.37558221430478,1.75360158515161,1.39946003713856,1.24227600183728,1.29134035730439,1.18248183674849,1.29861321122534,1.3474832304953
"17424452",2.22988263554182,1.80081249894981,1.98613539878439,2.3464987489272,1.99956115230213,2.52394449422905,2.06746295872074,3.01941366086469,2.42585920480937,2.43545666542377,2.04077295889821,2.66374671601297,2.28874553952331,2.33307021252283
"17425978",10.6173585652153,10.9321283592686,10.1128471855918,10.3890846033793,10.4065818947897,10.7240995050553,10.7352236624209,10.9902966975229,10.7387342293438,10.7658192381993,10.7428392890608,10.6292873737136,11.0906124651986,10.7240995050553
"17275234",1.41563356407945,1.00351990062366,1.49438197486745,1.12051126193852,1.31650517027925,1.15467634703305,1.42858265157958,1.29784882180788,1.41776351691277,1.42074948715729,1.54880751445467,1.84114396207574,1.33009003570268,1.60599096773284
"17545075",1.81780226534334,1.61262964645538,1.66370354575956,1.75757973257397,1.76103826418715,1.9293082422478,1.41367619557473,1.64492547576251,1.56889462293204,1.55919108325481,1.62181071862914,1.32614427541745,1.91826856749304,1.90996168282189
"17277685",1.37181510340831,1.2907594220578,1.26267406774836,1.50635171397338,1.27637886732936,1.26989605113319,1.52497818952065,1.66355030545881,1.43894102617326,1.15807479138492,1.30775999761913,1.67586707211734,1.26940860750889,1.25608150817718
"17380518",4.36070892105973,4.38617868771092,5.76302919783391,5.38164700815565,5.07270739323604,4.97054810026895,5.13160862986143,4.96715107445021,5.13131014778703,5.61237734981901,4.79937059016904,5.11989224731957,5.18483276551195,5.59688608400177
"17476946",2.07099984645087,1.62983765638379,1.95966974832505,1.69000612881747,1.9948966409123,1.81409098088464,1.75028452452763,1.83812747863656,1.77623047120769,1.88629131367121,1.67711074939978,1.79596962794595,1.49625299517062,1.57020987364333
"17282942",1.35712899481765,1.71832645651516,1.18341072796661,1.32131245049517,1.35115323912437,1.27548737108289,1.43660994554109,1.54830377866014,1.44673994889589,1.47595773032362,1.35810887493067,1.56108562523386,1.3008369199589,1.54495134035529
"17537345",2.21945232641878,2.71055144191817,2.73802317391511,2.42289500099943,1.96111797715801,2.66253031147686,2.42895091753879,2.5446001417063,2.57494812575484,2.61222456568084,2.50622959731219,2.50238103995495,2.22960029788182,2.32578313748372
"17545148",1.63800572769215,1.5936335148019,1.36025160557727,1.7783570023706,1.70364381452135,1.70539301900867,1.49957899018943,1.81060021921092,1.54355076220882,1.97753679718887,1.70498008033309,1.96842247181334,1.82338206578464,1.59143297030137
